Number,Word,Type,Pronounce,Meaning
138,differ,,",æni'və:səri",differ
139,turn,,ə'nauns,turn
140,cause,,ə'nɔi,cause
141,much,,ə'nɔid,much
142,mean,,ə'nɔiiɳ,mean
143,before,,ænjuəl,before
144,move,,ænjuəli,move
145,right,,ə'nʌðə,right
146,boy,,ɑ:nsə,boy
147,old,,,old
148,too,,æn'tisipeit,too
149,same,,æɳ'zaiəti,same
150,she,,æɳkʃəs,she
151,all,,æɳkʃəsli,all
152,there,,,there
153,when,,eniwʌn,when
154,up,,eniθiɳ,up
155,use,,eniwei,use
156,your,,eniweə,your
157,way,,ə'pɑ:t,way
158,about,,ə'pɑ:t,about
159,many,,,many
160,then,,ə'pɑ:tmənt,then
161,them,,ə'pɔlədʤaiz,them
162,write,,ə'pærənt,write
163,would,,,would
164,like,,ə'pi:l,like
165,so,,ə'piə,so
166,these,,ə'piərəns,these
167,her,,æpl,her
168,long,,",æpli'keiʃn",long
169,make,,ə'plai,make
170,thing,,ə'pɔint,thing
171,see,,ə'pɔintmənt,see
172,him,,ə'pri:ʃieit,him
173,two,,ə'proutʃ,two
174,has,,ə'proupriit,has
175,look,,ə'pru:vəl,look
176,more,,ə'pru:v,more
177,day,,ə'pru:viɳ,day
178,could,,ə'prɔksimit,could
179,go,,ə'prɔksimitli,go
180,come,,eiprəl,come
181,did,,eəriə,did
182,number,,ɑ:gju:,number
183,sound,,ɑ:gjumənt,sound
184,no,,ə'raiz,no
185,most,,ɑ:m,most
186,people,,ɑ:md,people
187,my,,,my
188,over,,ɑ:mi,over
189,know,,ə'raund,know
190,water,,ə'reindʤ,water
191,than,,ə'reindʤmənt,than
192,call,,ə'rest,call
193,first,,ə'raivəl,first
194,who,,ə'raiv,who
195,may,,ærou,may
196,down,,ɑ:t,down
197,side,,ɑ:tikl,side
198,been,,",ɑ:ti'fiʃəl",been
199,now,,",ɑ:ti'fiʃəli",now
200,find,,ɑ:tist,find
201,head,,ɑ:'tistik,head
202,stand,,"æz, əz",stand
203,own,,,own
204,page,,ə'ʃeimd,page
205,should,,ə'said,should
206,country,,ɑ:sk,country
207,found,,ə'sli:p,found
208,answer,,æspekt,answer
209,school,,ə'sist,school
210,grow,,ə'sistəns,grow
211,study,,ə'sistənt,study
212,still,,ə'souʃiit,still
213,learn,,"ə,sousi'eiʃn",learn
214,plant,,ə'sju:m,plant
215,cover,,ə'ʃuə,cover
216,food,,ætməsfiə,food
217,sun,,ætəm,sun
218,four,,ə'tætʃ,four
219,between,,,between
220,state,,ə'tæk,state
221,keep,,ə'tempt,keep
222,eye,,ə'temptid,eye
223,never,,ə'tend,never
224,last,,ə'tenʃn,last
225,let,,ætitju:d,let
226,thought,,ə'tə:ni,thought
227,city,,ə'trækt,city
228,tree,,ə'trækʃn,tree
229,cross,,ə'træktiv,cross
230,farm,,ɔ:djəns,farm
231,hard,,ɔ:gəst - ɔ:'gʌst,hard
232,start,,ɑ:nt,start
233,might,,ɔ:θə,might
234,story,,ɔ:'θɔriti,story
235,saw,,",ɔ:tə'mætik",saw
236,far,,,far
237,sea,,ɔ:təm,sea
238,draw,,ə'veiləbl,draw
239,left,,ævəridʤ,left
240,late,,ə'vɔid,late
241,run,,ə'weik,run
242,don’t,,ə'wɔ:d,don’t
243,while,,ə'weə,while
244,press,,ə'wei,press
245,close,,ɔ:ful,close
246,night,,,night
247,real,,ɔ:kwəd,real
248,life,,,life
249,few,,bæk,few
250,north,,bækgraund,north
251,book,,bækwəd,book
252,carry,,bækwədz,carry
253,took,,bæk'tiəriəm,took
254,science,,bæd,science
255,eat,,bædli,eat
256,room,,bæd'tempəd,room
257,friend,,bæg,friend
258,began,,bædidʤ,began
259,idea,,beik,idea
260,fish,,bæləns,fish
261,mountain,,bɔ:l,mountain
262,stop,,bæn,stop
263,once,,bænd,once
264,base,,bændidʤ,base
265,hear,,bæɳk,hear
266,horse,,bɑ:,horse
267,cut,,bɑ:gin,cut
268,sure,,bæriə,sure
269,watch,,beis,watch
270,color,,beisik,color
271,face,,beisikəli,face
272,wood,,beisis,wood
273,main,,bɑ:θ,main
274,open,,,open
275,seem,,bætəri,seem
276,together,,bætl,together
277,next,,bei,next
278,white,,,white
279,children,,bi:tʃ,children
280,begin,,bi:k,begin
281,got,,beə,got
282,walk,,biəd,walk
283,example,,bi:t,example
284,ease,,bju:təful,ease
285,paper,,bju:təfuli,paper
286,group,,bju:ti,group
287,always,,bi'kɔz,always
288,music,,bi'kʌm,music
289,those,,bed,those
290,both,,bedrum,both
291,mark,,bi:f,mark
292,often,,bi:ə,often
293,letter,,bi'fɔ:,letter
294,until,,bi'gin,until
295,mile,,bi'giniɳ,mile
296,river,,bi:hɑ:f,river
297,car,,,car
298,feet,,bi'heiv,feet
299,care,,,care
300,second,,bi'haind,second
301,enough,,bi'li:f,enough
302,plain,,bi'li:v,plain
303,girl,,bel,girl
304,usual,,bi'lɔɳ,usual
305,young,,bi'lou,young
306,ready,,belt,ready
307,above,,bentʃ,above
308,ever,,bi'ni:θ,ever
309,red,,benifit,red
310,list,,bent,list
311,though,,bi'said,though
312,feel,,bet,feel
313,talk,,"betə, best",talk
314,bird,,beting,bird
315,soon,,bi'twi:n,soon
316,body,,bi'jɔnd,body
317,dog,,baisikl,dog
318,family,,bid,family
319,direct,,big,direct
320,pose,,bil,pose
321,leave,,bin,leave
322,song,,bai'ɔlədʤi,song
323,measure,,bə:d,measure
324,door,,bə:θ,door
325,product,,bə:θdei,product
326,black,,biskit,black
327,short,,bit,short
328,numeral,,bait,numeral
329,class,,bitə,class
330,wind,,bitəli,wind
331,question,,blæk,question
332,happen,,bleid,happen
333,complete,,bleim,complete
334,ship,,blæɳk,ship
335,area,,blæɳkli,area
336,half,,blaind,half
337,rock,,blɔk,rock
338,order,,blɔnd,order
339,fire,,blʌd,fire
340,south,,blou,south
341,problem,,blu:,problem
342,piece,,bɔ:d,piece
343,told,,bout,told
344,knew,,bɔdi,knew
345,pass,,bɔil,pass
346,since,,bɔm,since
347,top,,boun,top
348,whole,,buk,whole
349,king,,bu:t,king
350,street,,bɔ:də,street
351,inch,,bɔ:,inch
352,multiply,,,multiply
353,nothing,,bɔ:riɳ,nothing
354,course,,bɔ:n,course
355,stay,,bɔrou,stay
356,wheel,,bɔs,wheel
357,full,,bouθ,full
358,force,,bɔðə,force
359,blue,,bɔtl,blue
360,object,,bɔtəm,object
361,decide,,baund,decide
362,surface,,boul,surface
363,deep,,bɔks,deep
364,moon,,bɔi,moon
365,island,,,island
366,foot,,brein,foot
367,system,,brɑ:ntʃ,system
368,busy,,brænd,busy
369,test,,breiv,test
370,record,,bred,record
371,boat,,breik,boat
372,common,,brekfəst,common
373,gold,,brest,gold
374,possible,,breθ,possible
375,plane,,bri:ð,plane
376,stead,,bri:ðiɳ,stead
377,dry,,bri:d,dry
378,wonder,,brik,wonder
379,laugh,,bridʤ,laugh
380,thousand,,bri:f,thousand
381,ago,,bri:fli,ago
382,ran,,brait,ran
383,check,,braitli,check
384,game,,briljənt,game
385,shape,,briɳ,shape
386,equate,,broutʃ,equate
387,hot,,brɔ:dkɑ:st,hot
388,miss,,brɔ:dli,miss
389,brought,,broukən,brought
390,heat,,brΔðз,heat
391,snow,,braun,snow
392,tire,,brΔ∫,tire
393,bring,,bΔbl,bring
394,yes,,ˈbʌdʒɪt,yes
395,distant,,bild,distant
396,fill,,bildiŋ,fill
397,east,,bulit,east
398,paint,,bΛnt∫,paint
399,language,,bə:n,language
400,among,,bə:nt,among
401,unit,,bə:st,unit
402,power,,beri,power
403,town,,bʌs,town
404,fine,,bu∫,fine
405,certain,,bizinis,certain
406,fly,,,fly
407,fall,,́bizi,fall
408,lead,,bʌt,lead
409,cry,,bʌtə,cry
410,dark,,bʌtn,dark
411,machine,,bai,machine
412,note,,́baiə,note
413,wait,,bai,wait
414,plan,,bai,plan
415,figure,,kæbinit,figure
416,star,,keibl,star
417,box,,keik,box
418,noun,,kælkjuleit,noun
419,field,,",kælkju'lei∫n",field
420,rest,,kɔ:l,rest
421,correct,,kɑ:m,correct
422,able,,kɑ:mli,able
423,pound,,kæmərə,pound
424,done,,kæmp,done
425,beauty,,kæmˈpeɪn,beauty
426,drive,,kæmpiη,drive
427,stood,,kæn,stood
428,contain,,́kænsəl,contain
429,front,,kænsə,front
430,teach,,kændidit,teach
431,week,,́kændi,week
432,final,,kæp,final
433,gave,,keipәb(ә)l,gave
434,green,,kə'pæsiti,green
435,oh,,ˈkæpɪtl,oh
436,quick,,kæptin,quick
437,develop,,kæptʃə,develop
438,ocean,,kɑ:,ocean
439,warm,,kɑ:d,warm
440,free,,́ka:d ̧bɔ:d,free
441,minute,,kɛər,minute
442,strong,,kə'riə,strong
443,special,,keəful,special
444,mind,,́kɛəfuli,mind
445,behind,,́kɛəlis,behind
446,clear,,,clear
447,tail,,kɑ:pit,tail
448,produce,,́kærət,produce
449,fact,,ˈkæri,fact
450,space,,keis,space
451,heard,,kæʃ,heard
452,best,,kɑ:st,best
453,hour,,kɑ:sl,hour
454,better,,kæt,better
455,TRUE,,kætʃ,TRUE
456,during,,kætigəri,during
457,hundred,,kɔ:z,hundred
458,five,,,five
459,remember,,si:s,remember
460,step,,ˈsilɪŋ,step
461,early,,selibreit,early
462,hold,,",seli'breiʃn",hold
463,west,,sel,west
464,ground,,,ground
465,interest,,sent,interest
466,reach,,"senti,mi:tз",reach
467,fast,,,fast
468,verb,,́sentrəl,verb
469,sing,,sentə,sing
470,listen,,sentʃuri,listen
471,six,,́seriməni,six
472,table,,sə:tn,table
473,travel,,́sə:tnli,travel
474,less,,sə'tifikit,less
475,morning,,tʃeɪn,morning
476,ten,,tʃeə,ten
477,simple,,"tʃeəmən, 'tʃeə,wumən",simple
478,several,,tʃælindʤ,several
479,vowel,,ˈtʃeɪmbər,vowel
480,toward,,"tʃæns , tʃɑ:ns",toward
481,war,,tʃeɪndʒ,war
482,lay,,tʃænl,lay
483,against,,t∫æptə(r),against
484,pattern,,kæriktə,pattern
485,slow,,̧kærəktə ́ristik,slow
486,center,,tʃɑ:dʤ,center
487,love,,́tʃæriti,love
488,person,,tʃa:t,person
489,money,,tʃeis,money
490,serve,,tʃæt,serve
491,appear,,tʃi:p,appear
492,road,,,road
493,map,,tʃit,map
494,rain,,tʃek,rain
495,rule,,́tʃi:k,rule
496,govern,,́tʃiəful,govern
497,pull,,,pull
498,cold,,tʃi:z,cold
499,notice,,ˈkɛmɪkəl,notice
500,voice,,́kemist,voice
501,energy,,,energy
502,hunt,,́kemistri,hunt
503,probable,,t∫ek,probable
504,bed,,tʃest,bed
505,brother,,tʃu:,brother
506,egg,,ˈtʃɪkin,egg
507,ride,,tʃi:f,ride
508,cell,,tʃaild,cell
509,believe,,tʃin,believe
510,perhaps,,tʃip,perhaps
511,pick,,ˈtʃɒklɪt,pick
512,sudden,,tʃɔɪs,sudden
513,count,,t∫u:z,count
514,square,,tʃɔp,square
515,reason,,tʃə:tʃ,reason
516,length,,̧sigə ́ret,length
517,represent,,ˈsɪnəmə,represent
518,art,,sə:kl,art
519,subject,,ˈsɜrkəmˌstəns,subject
520,region,,́sitizən,region
521,size,,si:ti,size
522,vary,,sivl,vary
523,settle,,kleim,settle
524,speak,,klæp,speak
525,weight,,klɑ:s,weight
526,general,,klæsik,general
527,ice,,klα:si,ice
528,matter,,kli:n,matter
529,circle,,,circle
530,pair,,́kliəli,pair
531,include,,kla:k,include
532,divide,,klevə,divide
533,syllable,,klik,syllable
534,felt,,́klaiənt,felt
535,grand,,klaimit,grand
536,ball,,klaim,ball
537,yet,,́klaimiη,yet
538,wave,,klɔk,wave
539,drop,,klouz,drop
540,heart,,klouzd,heart
541,am,,́klousli,am
542,present,,klozit,present
543,heavy,,klɔθ,heavy
544,dance,,klouðz,dance
545,engine,,́klouðiη,engine
546,position,,klaud,position
547,arm,,́klʌb,arm
548,wide,,koʊtʃ,wide
549,sail,,koul,sail
550,material,,koust,material
551,fraction,,koʊt,fraction
552,forest,,koud,forest
553,sit,,kɔfi,sit
554,race,,kɔin,race
555,window,,kould,window
556,store,,kouldli,store
557,summer,,kз'læps,summer
558,train,,ˈkɒlig,train
559,sleep,,kə ́lekt,sleep
560,prove,,kəˈlɛkʃən,prove
561,lone,,kɔlidʤ,lone
562,leg,,kʌlə,leg
563,exercise,,́kʌləd,exercise
564,wall,,kɔləm,wall
565,catch,,",kɔmbi'neiʃn",catch
566,mount,,kɔmbain,mount
567,wish,,kʌm,wish
568,sky,,́kɔmidi,sky
569,board,,kΔmfзt,board
570,joy,,kΔmfзtзbl,joy
571,winter,,́kʌmfətəbli,winter
572,sat,,kə'mɑ:nd,sat
573,written,,ˈkɒment,written
574,wild,,kə'mə:ʃl,wild
575,instrument,,kəˈmɪʃən,instrument
576,kept,,kə'mit,kept
577,glass,,kə'mmənt,glass
578,grass,,kə'miti,grass
579,cow,,kɔmən,cow
580,job,,́kɔmənli,job
581,edge,,kə'mju:nikeit,edge
582,sign,,"kə,mju:ni'keiʃn",sign
583,visit,,kə'mju:niti,visit
584,past,,́kʌmpəni,past
585,soft,,kәm'peә(r),soft
586,fun,,kəm'pærisn,fun
587,bright,,kəm'pi:t,bright
588,gas,,",kɔmpi'tiʃn",gas
589,weather,,kəm ́petitiv,weather
590,month,,kəm ́plein,month
591,million,,kəmˈpleɪnt,million
592,bear,,kəm'pli:t,bear
593,finish,,kзm'pli:tli,finish
594,happy,,kɔmleks,happy
595,hope,,komplikeit,hope
596,flower,,komplikeitid,flower
597,clothe,,kəm'pju:tə,clothe
598,strange,,kɔnsentreit,strange
599,gone,,",kɒnsn'trei∫n",gone
600,trade,,ˈkɒnsept,trade
601,melody,,kәn'sз:n,melody
602,trip,,kən ́sə:nd,trip
603,office,,kən ́sə:niη,office
604,receive,,kən'sə:t,receive
605,row,,kənˈklud,row
606,mouth,,kənˈkluʒən,mouth
607,exact,,kɔnkri:t,exact
608,symbol,,kәn'di∫әn,symbol
609,die,,kən'dʌkt,die
610,least,,ˈkɒnfrəns,least
611,trouble,,konfid(ә)ns,trouble
612,shout,,kɔnfidənt,shout
613,except,,kɔnfidəntli,except
614,wrote,,kən'fain,wrote
615,seed,,kən'faind,seed
616,tone,,kən'fə:m,tone
617,join,,ˈkɒnflɪkt,join
618,suggest,,kən'frʌnt,suggest
619,clean,,,clean
620,break,,kən'fju:zd,break
621,lady,,kən'fju:ziη,lady
622,yard,,kən'fju:ʒn,yard
623,rise,,"kən,grætju'lei∫n",rise
624,bad,,kɔɳgres,bad
625,blow,,kə'nekt,blow
626,oil,,"kə ́nekʃən,",oil
627,blood,,ˈkɒnʃəs,blood
628,touch,,kɔnsikwəns,touch
629,grew,,kən ́sə:vətiv,grew
630,cent,,kən ́sidə,cent
631,mix,,kən'sidərəbl,mix
632,team,,kən'sidərəbly,team
633,wire,,kənsidə'reiʃn,wire
634,cost,,kən'sist,cost
635,lost,,kɔnstənt,lost
636,brown,,kɔnstəntli,brown
637,wear,,kən ́strʌkt,wear
638,garden,,kən'strʌkʃn,garden
639,equal,,kən'sʌlt,equal
640,sent,,kən'sju:mə,sent
641,choose,,ˈkɒntækt,choose
642,fell,,kәn'tein,fell
643,fit,,kən'teinə,fit
644,flow,,kən'tempərəri,flow
645,fair,,kən'tent,fair
646,bank,,kən ́test,bank
647,collect,,kɔntekst,collect
648,save,,kɔntinənt,save
649,control,,kən ́tinju:,control
650,decimal,,kən'tinjuəs,decimal
651,ear,,kən'tinjuəsli,ear
652,else,,kɔntrækt,else
653,quite,,kən'træst,quite
654,broke,,kən'træsti,broke
655,case,,kən'tribju:t,case
656,middle,,̧kɔntri ́bju:ʃən,middle
657,kill,,kən'troul,kill
658,son,,kən'trould,son
659,lake,,kən ́vi:njənt,lake
660,moment,,kən'ven∫n,moment
661,scale,,kən'ven∫ənl,scale
662,loud,,",kɔnvə'seiʃn",loud
663,spring,,kən'və:t,spring
664,observe,,kən'vins,observe
665,child,,kʊk,child
666,straight,,́kukə,straight
667,consonant,,́kuki,consonant
668,nation,,kʊkiɳ,nation
669,dictionary,,ku:l,dictionary
670,milk,,koup,milk
671,speed,,kɔpi,speed
672,method,,kɔ:,method
673,organ,,́kɔ:nə,organ
674,pay,,kə ́rekt,pay
675,age,,kə ́rektli,age
676,section,,"kɔst , kɒst",section
677,dress,,kɔtidʤ,dress
678,cloud,,ˈkɒtn,cloud
679,surprise,,kɔf,surprise
680,quiet,,́kɔfiη,quiet
681,stone,,kud,stone
682,tiny,,kaunsl,tiny
683,climb,,kaunt,climb
684,cool,,ˈkaʊntər,cool
685,design,,ˈkʌntri,design
686,poor,,kʌntri'said,poor
687,lot,,koun'ti,lot
688,experiment,,kʌpl,experiment
689,bottom,,kʌridʤ,bottom
690,key,,kɔ:s,key
691,iron,,"kɔrt , koʊrt",iron
692,single,,ˈkʌzən,single
693,stick,,kʌvə,stick
694,flat,,kʌvərd,flat
695,twenty,,́kʌvəriη,twenty
696,skin,,kaʊ,skin
697,smile,,kræk,smile
698,crease,,krækt,crease
699,hole,,kra:ft,hole
700,jump,,kræʃ,jump
701,baby,,kreizi,baby
702,eight,,kri:m,eight
703,village,,kri:'eit,village
704,meet,,kri:tʃə,meet
705,root,,ˈkrɛdɪt,root
706,buy,,,buy
707,raise,,kraim,raise
708,solve,,ˈkrɪmənl,solve
709,metal,,ˈkraɪsɪs,metal
710,whether,,krips,whether
711,push,,kraɪˈtɪəriən,push
712,seven,,ˈkrɪtɪkəl,seven
713,paragraph,,́kriti ̧sizəm,paragraph
714,third,,ˈkrɪtəˌsaɪz,third
715,shall,,krop,shall
716,held,,krɔs,held
717,hair,,kraud,hair
718,describe,,kraudid,describe
719,cook,,kraun,cook
720,floor,,́kru:ʃəl,floor
721,either,,kru:ә(l),either
722,result,,krᴧ∫,result
723,burn,,krai,burn
724,hill,,ˈkʌltʃərəl,hill
725,safe,,ˈkʌltʃər,safe
726,cat,,kʌp,cat
727,century,,kʌpbəd,century
728,consider,,kə:b,consider
729,type,,kjuə,type
730,law,,kjuəriəs,law
731,bit,,kjuəriəsli,bit
732,coast,,kə:l,coast
733,copy,,́kə:li,copy
734,phrase,,kʌrənt,phrase
735,silent,,kʌrəntli,silent
736,tall,,kə:tn,tall
737,sand,,kə:v,sand
738,soil,,kə:vd,soil
739,roll,,kʌstəm,roll
740,temperature,,́kʌstəmə,temperature
741,finger,,́kʌstəmz,finger
742,industry,,kʌt,industry
743,value,,saikl,value
744,fight,,saikliŋ,fight
745,lie,,dæd,lie
746,beat,,deili,beat
747,excite,,dæmidʤ,excite
748,natural,,dæmp,natural
749,view,,dɑ:ns,view
750,sense,,dɑ:nsə,sense
751,capital,,dɑ:nsiɳ,capital
752,won’t,,deindʤə,won’t
753,chair,,́deindʒərəs,chair
754,danger,,deər,danger
755,fruit,,dɑ:k,fruit
756,rich,,́deitə,rich
757,thick,,deit,thick
758,soldier,,ˈdɔtər,soldier
759,process,,dei,process
760,operate,,ded,operate
761,practice,,def,practice
762,separate,,di:l,separate
763,difficult,,diə,difficult
764,doctor,,deθ,doctor
765,please,,dɪˈbeɪt,please
766,protect,,det,protect
767,noon,,dekeid,noon
768,crop,,di'kei,crop
769,modern,,di'sembə,modern
770,element,,di'said,element
771,hit,,diˈsiʒn,hit
772,student,,di'kleə,student
773,corner,,di'klain,corner
774,party,,́dekə ̧reit,party
775,supply,,̧dekə ́reiʃən,supply
776,whose,,́dekərətiv,whose
777,locate,,di:kri:s,locate
778,ring,,di:p,ring
779,character,,́di:pli,character
780,insect,,di'fi:t,insect
781,caught,,di'fens,caught
782,period,,di'fend,period
783,indicate,,di'fain,indicate
784,radio,,dә'finit,radio
785,spoke,,definitli,spoke
786,atom,,defini∫n,atom
787,human,,dɪˈgri:,human
788,history,,dɪˈleɪ,history
789,effect,,di'libәreit,effect
790,electric,,di ́libəritli,electric
791,expect,,delikeit,expect
792,bone,,di'lait,bone
793,rail,,di'laitid,rail
794,imagine,,di'livə,imagine
795,provide,,di'livəri,provide
796,agree,,dɪ.ˈmænd,agree
797,thus,,ˈdɛmənˌstreɪt,thus
798,gentle,,dentist,gentle
799,woman,,di'nai,woman
800,captain,,di'pɑ:tmənt,captain
801,guess,,di'pɑ:tʃə,guess
802,necessary,,di'pend,necessary
803,sharp,,dɪˈpɒzɪt,sharp
804,wing,,di ́pres,wing
805,create,,di-'prest,create
806,neighbor,,di'presiη,neighbor
807,wash,,depθ,wash
808,bat,,di ́raiv,bat
809,rather,,dɪˈskraɪb,rather
810,crowd,,dɪˈskrɪpʃən,crowd
811,corn,,ˈdɛzərt,corn
812,compare,,di'zз:tid,compare
813,poem,,di'zз:v,poem
814,string,,di ́zain,string
815,bell,,di'zaiə,bell
816,depend,,desk,depend
817,meat,,despərit,meat
818,rub,,despəritli,rub
819,tube,,dis'pait,tube
820,famous,,dis'trɔi,famous
921,dollar,,dis'trʌk∫n,dollar
822,stream,,(n) ˈditeɪl ; (v)dɪˈteɪl,stream
823,fear,,di:teild,fear
284,sight,,"di,tə:mi'neiʃn",sight
825,thin,,di'tз:min,thin
826,triangle,,di ́tə:mind,triangle
827,planet,,di'veləp,planet
828,hurry,,di’velәpmәnt,hurry
829,chief,,di'vais,chief
830,colony,,di'vout,colony
831,clock,,di ́voutid,clock
832,mine,,ˈdaɪəˌgræm,mine
833,tie,,́daiəmənd,tie
834,enter,,daiəri,enter
835,major,,dikʃənəri,major
836,fresh,,daɪ,fresh
837,search,,daiət,search
838,send,,"ˈdɪfərəns , ˈdɪfrəns",send
839,yellow,,difrзnt,yellow
840,gun,,difrзntli,gun
841,allow,,difik(ə)lt,allow
842,print,,difikəlti,print
843,dead,,dɪg,dead
844,spot,,dinə,spot
845,desert,,di'rekt; dai'rekt,desert
846,suit,,di'rek∫n,suit
847,current,,dai ́rektli,current
848,lift,,di'rektə,lift
840,rose,,də:t,rose
850,arrive,,́də:ti,arrive
851,master,,dis ́eibld,master
852,track,,dɪsədˈvɑntɪdʒ,track
853,parent,,̧disə ́gri:,parent
854,shore,,̧disəg ́ri:mənt,shore
855,division,,disə'piə,division
856,sheet,,ˌdɪsəˈpɔɪnt,sheet
857,substance,,",disз'pointid",substance
858,favor,,̧disə ́pɔintiη,favor
859,connect,,̧disə ́pɔintmənt,connect
860,post,,̧disə ́pru:vl,post
861,spend,,̧disə ́pru:v,spend
862,chord,,̧disə ́pru:viη,chord
863,fat,,di'zɑ:stə,fat
864,glad,,disk,glad
865,original,,disiplin,original
866,share,,diskaunt,share
867,station,,dis'kʌvə,station
868,dad,,dis'kʌvəri,dad
869,bread,,dis'kΛs,bread
870,charge,,dis'kʌʃn,charge
871,proper,,di'zi:z,proper
872,bar,,dis ́gʌst,bar
873,offer,,dis ́gʌstid,offer
874,segment,,dis ́gʌstiη,segment
875,slave,,diʃ,slave
876,duck,,dis ́ɔnist,duck
877,instant,,dis'onistli,instant
878,market,,disk,market
879,degree,,dis'laik,degree
880,populate,,dis'mis,populate
881,chick,,dis'plei,chick
882,dear,,dɪˈzɒlv,dear
883,enemy,,distəns,enemy
884,reply,,dis ́tiηgwiʃ,reply
885,drink,,dis'tribju:t,drink
886,occur,,",distri'bju:ʃn",occur
887,support,,distrikt,support
888,speech,,dis ́tə:b,speech
889,nature,,dis ́tə:biη,nature
890,range,,di'vaid,range
891,steam,,dɪ'vɪʒn,steam
892,motion,,di ́vɔ:s,motion
893,path,,di'vo:sd,path
894,liquid,,"du:, du",liquid
895,log,,dɔktə,log
896,meant,,dɒkjʊmənt,meant
897,quotient,,dɔg,quotient
898,teeth,,́dɔlə,teeth
899,shell,,də'mestik,shell
900,neck,,ˈdɒməˌneɪt,neck
901,oxygen,,dɔ:,oxygen
902,sugar,,dɔt,sugar
903,death,,dʌbl,death
904,pretty,,daut,pretty
905,skill,,daun,skill
906,women,,daun'steзz,women
907,season,,́daun ̧wəd,season
908,solution,,́daun ̧wədz,solution
909,magnet,,dʌzn,magnet
910,silver,,dra:ft,silver
911,thank,,drӕg,thank
912,branch,,drɑː.mə,branch
913,match,,drə ́mætik,match
914,suffix,,drə'mætikəli,suffix
915,especially,,dro:,especially
916,fig,,́drɔ:ə,fig
917,afraid,,dro:iŋ,afraid
918,huge,,dri:m,huge
919,sister,,dres,sister
920,steel,,,steel
921,discuss,,driɳk,discuss
922,forward,,draiv,forward
923,similar,,draivә(r),similar
924,guide,,draiviɳ,guide
925,experience,,drɒp,experience
926,score,,drʌg,score
927,apple,,drʌgstɔ:,apple
