Number,Vietnamese,Type,Prototype,in English
200,find,,,find
201,head,,,head
202,stand,,,stand
203,own,,,own
204,page,,,page
205,should,,,should
206,country,,,country
207,found,,,found
208,answer,,,answer
209,school,,,school
210,grow,,,grow
211,study,,,study
212,still,,,still
213,learn,,,learn
214,plant,,,plant
215,cover,,,cover
216,food,,,food
217,sun,,,sun
218,four,,,four
219,between,,,between
220,state,,,state
221,keep,,,keep
222,eye,,,eye
223,never,,,never
224,last,,,last
225,let,,,let
226,thought,,,thought
227,city,,,city
228,tree,,,tree
229,cross,,,cross
230,farm,,,farm
231,hard,,,hard
232,start,,,start
233,might,,,might
234,story,,,story
235,saw,,,saw
236,far,,,far
237,sea,,,sea
238,draw,,,draw
239,left,,,left
240,late,,,late
241,run,,,run
242,don’t,,,don’t
243,while,,,while
244,press,,,press
245,close,,,close
246,night,,,night
247,real,,,real
248,life,,,life
249,few,,,few
250,north,,,north
251,book,,,book
252,carry,,,carry
253,took,,,took
254,science,,,science
255,eat,,,eat
256,room,,,room
257,friend,,,friend
258,began,,,began
259,idea,,,idea
260,fish,,,fish
261,mountain,,,mountain
262,stop,,,stop
263,once,,,once
264,base,,,base
265,hear,,,hear
266,horse,,,horse
267,cut,,,cut
268,sure,,,sure
269,watch,,,watch
270,color,,,color
271,face,,,face
272,wood,,,wood
273,main,,,main
274,open,,,open
275,seem,,,seem
276,together,,,together
277,next,,,next
278,white,,,white
279,children,,,children
280,begin,,,begin
281,got,,,got
282,walk,,,walk
283,example,,,example
284,ease,,,ease
285,paper,,,paper
286,group,,,group
287,always,,,always
288,music,,,music
289,those,,,those
290,both,,,both
291,mark,,,mark
292,often,,,often
293,letter,,,letter
294,until,,,until
295,mile,,,mile
296,river,,,river
297,car,,,car
298,feet,,,feet
299,care,,,care
300,second,,,second
301,enough,,,enough
302,plain,,,plain
303,girl,,,girl
304,usual,,,usual
305,young,,,young
306,ready,,,ready
307,above,,,above
308,ever,,,ever
309,red,,,red
310,list,,,list
311,though,,,though
312,feel,,,feel
313,talk,,,talk
314,bird,,,bird
315,soon,,,soon
316,body,,,body
317,dog,,,dog
318,family,,,family
319,direct,,,direct
320,pose,,,pose
321,leave,,,leave
322,song,,,song
323,measure,,,measure
324,door,,,door
325,product,,,product
326,black,,,black
327,short,,,short
328,numeral,,,numeral
329,class,,,class
330,wind,,,wind
331,question,,,question
332,happen,,,happen
333,complete,,,complete
334,ship,,,ship
335,area,,,area
336,half,,,half
337,rock,,,rock
338,order,,,order
339,fire,,,fire
340,south,,,south
341,problem,,,problem
342,piece,,,piece
343,told,,,told
344,knew,,,knew
345,pass,,,pass
346,since,,,since
347,top,,,top
348,whole,,,whole
349,king,,,king
350,street,,,street
351,inch,,,inch
352,multiply,,,multiply
353,nothing,,,nothing
354,course,,,course
355,stay,,,stay
356,wheel,,,wheel
357,full,,,full
358,force,,,force
359,blue,,,blue
360,object,,,object
361,decide,,,decide
362,surface,,,surface
363,deep,,,deep
364,moon,,,moon
365,island,,,island
366,foot,,,foot
367,system,,,system
368,busy,,,busy
369,test,,,test
370,record,,,record
371,boat,,,boat
372,common,,,common
373,gold,,,gold
374,possible,,,possible
375,plane,,,plane
376,stead,,,stead
377,dry,,,dry
378,wonder,,,wonder
379,laugh,,,laugh
380,thousand,,,thousand
381,ago,,,ago
382,ran,,,ran
383,check,,,check
384,game,,,game
385,shape,,,shape
386,equate,,,equate
387,hot,,,hot
388,miss,,,miss
389,brought,,,brought
390,heat,,,heat
391,snow,,,snow
392,tire,,,tire
393,bring,,,bring
394,yes,,,yes
395,distant,,,distant
396,fill,,,fill
397,east,,,east
398,paint,,,paint
399,language,,,language
400,among,,,among
401,unit,,,unit
402,power,,,power
403,town,,,town
404,fine,,,fine
405,certain,,,certain
406,fly,,,fly
407,fall,,,fall
408,lead,,,lead
409,cry,,,cry
410,dark,,,dark
411,machine,,,machine
412,note,,,note
413,wait,,,wait
414,plan,,,plan
415,figure,,,figure
416,star,,,star
417,box,,,box
418,noun,,,noun
419,field,,,field
420,rest,,,rest
421,correct,,,correct
422,able,,,able
423,pound,,,pound
424,done,,,done
425,beauty,,,beauty
426,drive,,,drive
427,stood,,,stood
428,contain,,,contain
429,front,,,front
430,teach,,,teach
431,week,,,week
432,final,,,final
433,gave,,,gave
434,green,,,green
435,oh,,,oh
436,quick,,,quick
437,develop,,,develop
438,ocean,,,ocean
439,warm,,,warm
440,free,,,free
441,minute,,,minute
442,strong,,,strong
443,special,,,special
444,mind,,,mind
445,behind,,,behind
446,clear,,,clear
447,tail,,,tail
448,produce,,,produce
449,fact,,,fact
450,space,,,space
451,heard,,,heard
452,best,,,best
453,hour,,,hour
454,better,,,better
455,TRUE,,,TRUE
456,during,,,during
457,hundred,,,hundred
458,five,,,five
459,remember,,,remember
460,step,,,step
461,early,,,early
462,hold,,,hold
463,west,,,west
464,ground,,,ground
465,interest,,,interest
466,reach,,,reach
467,fast,,,fast
468,verb,,,verb
469,sing,,,sing
470,listen,,,listen
471,six,,,six
472,table,,,table
473,travel,,,travel
474,less,,,less
475,morning,,,morning
476,ten,,,ten
477,simple,,,simple
478,several,,,several
479,vowel,,,vowel
480,toward,,,toward
481,war,,,war
482,lay,,,lay
483,against,,,against
484,pattern,,,pattern
485,slow,,,slow
486,center,,,center
487,love,,,love
488,person,,,person
489,money,,,money
490,serve,,,serve
491,appear,,,appear
492,road,,,road
493,map,,,map
494,rain,,,rain
495,rule,,,rule
496,govern,,,govern
497,pull,,,pull
498,cold,,,cold
499,notice,,,notice
500,voice,,,voice
501,energy,,,energy
502,hunt,,,hunt
503,probable,,,probable
504,bed,,,bed
505,brother,,,brother
506,egg,,,egg
507,ride,,,ride
508,cell,,,cell
509,believe,,,believe
510,perhaps,,,perhaps
511,pick,,,pick
512,sudden,,,sudden
513,count,,,count
514,square,,,square
515,reason,,,reason
516,length,,,length
517,represent,,,represent
518,art,,,art
519,subject,,,subject
520,region,,,region
521,size,,,size
522,vary,,,vary
523,settle,,,settle
524,speak,,,speak
525,weight,,,weight
526,general,,,general
527,ice,,,ice
528,matter,,,matter
529,circle,,,circle
530,pair,,,pair
531,include,,,include
532,divide,,,divide
533,syllable,,,syllable
534,felt,,,felt
535,grand,,,grand
536,ball,,,ball
537,yet,,,yet
538,wave,,,wave
539,drop,,,drop
540,heart,,,heart
541,am,,,am
542,present,,,present
543,heavy,,,heavy
544,dance,,,dance
545,engine,,,engine
546,position,,,position
547,arm,,,arm
548,wide,,,wide
549,sail,,,sail
550,material,,,material
551,fraction,,,fraction
552,forest,,,forest
553,sit,,,sit
554,race,,,race
555,window,,,window
556,store,,,store
557,summer,,,summer
558,train,,,train
559,sleep,,,sleep
560,prove,,,prove
561,lone,,,lone
562,leg,,,leg
563,exercise,,,exercise
564,wall,,,wall
565,catch,,,catch
566,mount,,,mount
567,wish,,,wish
568,sky,,,sky
569,board,,,board
570,joy,,,joy
571,winter,,,winter
572,sat,,,sat
573,written,,,written
574,wild,,,wild
575,instrument,,,instrument
576,kept,,,kept
577,glass,,,glass
578,grass,,,grass
579,cow,,,cow
580,job,,,job
581,edge,,,edge
582,sign,,,sign
583,visit,,,visit
584,past,,,past
585,soft,,,soft
586,fun,,,fun
587,bright,,,bright
588,gas,,,gas
589,weather,,,weather
590,month,,,month
591,million,,,million
592,bear,,,bear
593,finish,,,finish
594,happy,,,happy
595,hope,,,hope
596,flower,,,flower
597,clothe,,,clothe
598,strange,,,strange
599,gone,,,gone
600,trade,,,trade
601,melody,,,melody
602,trip,,,trip
603,office,,,office
604,receive,,,receive
605,row,,,row
606,mouth,,,mouth
607,exact,,,exact
608,symbol,,,symbol
609,die,,,die
610,least,,,least
611,trouble,,,trouble
612,shout,,,shout
613,except,,,except
614,wrote,,,wrote
615,seed,,,seed
616,tone,,,tone
617,join,,,join
618,suggest,,,suggest
619,clean,,,clean
620,break,,,break
621,lady,,,lady
622,yard,,,yard
623,rise,,,rise
624,bad,,,bad
625,blow,,,blow
626,oil,,,oil
627,blood,,,blood
628,touch,,,touch
629,grew,,,grew
630,cent,,,cent
631,mix,,,mix
632,team,,,team
633,wire,,,wire
634,cost,,,cost
635,lost,,,lost
636,brown,,,brown
637,wear,,,wear
638,garden,,,garden
639,equal,,,equal
640,sent,,,sent
641,choose,,,choose
642,fell,,,fell
643,fit,,,fit
644,flow,,,flow
645,fair,,,fair
646,bank,,,bank
647,collect,,,collect
648,save,,,save
649,control,,,control
650,decimal,,,decimal
651,ear,,,ear
652,else,,,else
653,quite,,,quite
654,broke,,,broke
655,case,,,case
656,middle,,,middle
657,kill,,,kill
658,son,,,son
659,lake,,,lake
660,moment,,,moment
661,scale,,,scale
662,loud,,,loud
663,spring,,,spring
664,observe,,,observe
665,child,,,child
666,straight,,,straight
667,consonant,,,consonant
668,nation,,,nation
669,dictionary,,,dictionary
670,milk,,,milk
671,speed,,,speed
672,method,,,method
673,organ,,,organ
674,pay,,,pay
675,age,,,age
676,section,,,section
677,dress,,,dress
678,cloud,,,cloud
679,surprise,,,surprise
680,quiet,,,quiet
681,stone,,,stone
682,tiny,,,tiny
683,climb,,,climb
684,cool,,,cool
685,design,,,design
686,poor,,,poor
687,lot,,,lot
688,experiment,,,experiment
689,bottom,,,bottom
690,key,,,key
691,iron,,,iron
692,single,,,single
693,stick,,,stick
694,flat,,,flat
695,twenty,,,twenty
696,skin,,,skin
697,smile,,,smile
698,crease,,,crease
699,hole,,,hole
700,jump,,,jump
701,baby,,,baby
702,eight,,,eight
703,village,,,village
704,meet,,,meet
705,root,,,root
706,buy,,,buy
707,raise,,,raise
708,solve,,,solve
709,metal,,,metal
710,whether,,,whether
711,push,,,push
712,seven,,,seven
713,paragraph,,,paragraph
714,third,,,third
715,shall,,,shall
716,held,,,held
717,hair,,,hair
718,describe,,,describe
719,cook,,,cook
720,floor,,,floor
721,either,,,either
722,result,,,result
723,burn,,,burn
724,hill,,,hill
725,safe,,,safe
726,cat,,,cat
727,century,,,century
728,consider,,,consider
729,type,,,type
730,law,,,law
731,bit,,,bit
732,coast,,,coast
733,copy,,,copy
734,phrase,,,phrase
735,silent,,,silent
736,tall,,,tall
737,sand,,,sand
738,soil,,,soil
739,roll,,,roll
740,temperature,,,temperature
741,finger,,,finger
742,industry,,,industry
743,value,,,value
744,fight,,,fight
745,lie,,,lie
746,beat,,,beat
747,excite,,,excite
748,natural,,,natural
749,view,,,view
750,sense,,,sense
751,capital,,,capital
752,won’t,,,won’t
753,chair,,,chair
754,danger,,,danger
755,fruit,,,fruit
756,rich,,,rich
757,thick,,,thick
758,soldier,,,soldier
759,process,,,process
760,operate,,,operate
761,practice,,,practice
762,separate,,,separate
763,difficult,,,difficult
764,doctor,,,doctor
765,please,,,please
766,protect,,,protect
767,noon,,,noon
768,crop,,,crop
769,modern,,,modern
770,element,,,element
771,hit,,,hit
772,student,,,student
773,corner,,,corner
774,party,,,party
775,supply,,,supply
776,whose,,,whose
777,locate,,,locate
778,ring,,,ring
779,character,,,character
780,insect,,,insect
781,caught,,,caught
782,period,,,period
783,indicate,,,indicate
784,radio,,,radio
785,spoke,,,spoke
786,atom,,,atom
787,human,,,human
788,history,,,history
789,effect,,,effect
790,electric,,,electric
791,expect,,,expect
792,bone,,,bone
793,rail,,,rail
794,imagine,,,imagine
795,provide,,,provide
796,agree,,,agree
797,thus,,,thus
798,gentle,,,gentle
799,woman,,,woman
800,captain,,,captain
801,guess,,,guess
802,necessary,,,necessary
803,sharp,,,sharp
804,wing,,,wing
805,create,,,create
806,neighbor,,,neighbor
807,wash,,,wash
808,bat,,,bat
809,rather,,,rather
810,crowd,,,crowd
811,corn,,,corn
812,compare,,,compare
813,poem,,,poem
814,string,,,string
815,bell,,,bell
816,depend,,,depend
817,meat,,,meat
818,rub,,,rub
819,tube,,,tube
820,famous,,,famous
921,dollar,,,dollar
822,stream,,,stream
823,fear,,,fear
284,sight,,,sight
825,thin,,,thin
826,triangle,,,triangle
827,planet,,,planet
828,hurry,,,hurry
829,chief,,,chief
830,colony,,,colony
831,clock,,,clock
832,mine,,,mine
833,tie,,,tie
834,enter,,,enter
835,major,,,major
836,fresh,,,fresh
837,search,,,search
838,send,,,send
839,yellow,,,yellow
840,gun,,,gun
841,allow,,,allow
842,print,,,print
843,dead,,,dead
844,spot,,,spot
845,desert,,,desert
846,suit,,,suit
847,current,,,current
848,lift,,,lift
840,rose,,,rose
850,arrive,,,arrive
851,master,,,master
852,track,,,track
853,parent,,,parent
854,shore,,,shore
855,division,,,division
856,sheet,,,sheet
857,substance,,,substance
858,favor,,,favor
859,connect,,,connect
860,post,,,post
861,spend,,,spend
862,chord,,,chord
863,fat,,,fat
864,glad,,,glad
865,original,,,original
866,share,,,share
867,station,,,station
868,dad,,,dad
869,bread,,,bread
870,charge,,,charge
871,proper,,,proper
872,bar,,,bar
873,offer,,,offer
874,segment,,,segment
875,slave,,,slave
876,duck,,,duck
877,instant,,,instant
878,market,,,market
879,degree,,,degree
880,populate,,,populate
881,chick,,,chick
882,dear,,,dear
883,enemy,,,enemy
884,reply,,,reply
885,drink,,,drink
886,occur,,,occur
887,support,,,support
888,speech,,,speech
889,nature,,,nature
890,range,,,range
891,steam,,,steam
892,motion,,,motion
893,path,,,path
894,liquid,,,liquid
895,log,,,log
896,meant,,,meant
897,quotient,,,quotient
898,teeth,,,teeth
899,shell,,,shell
900,neck,,,neck
901,oxygen,,,oxygen
902,sugar,,,sugar
903,death,,,death
904,pretty,,,pretty
905,skill,,,skill
906,women,,,women
907,season,,,season
908,solution,,,solution
909,magnet,,,magnet
910,silver,,,silver
911,thank,,,thank
912,branch,,,branch
913,match,,,match
914,suffix,,,suffix
915,especially,,,especially
916,fig,,,fig
917,afraid,,,afraid
918,huge,,,huge
919,sister,,,sister
920,steel,,,steel
921,discuss,,,discuss
922,forward,,,forward
923,similar,,,similar
924,guide,,,guide
925,experience,,,experience
926,score,,,score
927,apple,,,apple
928,bought,,,bought
929,led,,,led
930,pitch,,,pitch
931,coat,,,coat
932,mass,,,mass
933,card,,,card
934,band,,,band
935,rope,,,rope
936,slip,,,slip
937,win,,,win
938,dream,,,dream
939,evening,,,evening
940,condition,,,condition
941,feed,,,feed
942,tool,,,tool
943,total,,,total
944,basic,,,basic
945,smell,,,smell
946,valley,,,valley
947,nor,,,nor
948,double,,,double
949,seat,,,seat
950,continue,,,continue
951,block,,,block
952,chart,,,chart
953,hat,,,hat
954,sell,,,sell
955,success,,,success
956,company,,,company
957,subtract,,,subtract
958,event,,,event
959,particular,,,particular
960,deal,,,deal
961,swim,,,swim
962,term,,,term
963,opposite,,,opposite
964,wife,,,wife
965,shoe,,,shoe
966,shoulder,,,shoulder
967,spread,,,spread
968,arrange,,,arrange
969,camp,,,camp
970,invent,,,invent
971,cotton,,,cotton
972,born,,,born
973,determine,,,determine
974,quart,,,quart
975,nine,,,nine
976,truck,,,truck
977,noise,,,noise
978,level,,,level
979,chance,,,chance
980,gather,,,gather
981,shop,,,shop
982,stretch,,,stretch
983,throw,,,throw
984,shine,,,shine
985,property,,,property
986,column,,,column
987,molecule,,,molecule
988,select,,,select
989,wrong,,,wrong
990,gray,,,gray
991,repeat,,,repeat
992,require,,,require
993,broad,,,broad
994,prepare,,,prepare
995,salt,,,salt
996,nose,,,nose
997,plural,,,plural
998,anger,,,anger
999,claim,,,claim
1000,continent,,,continent
